Namespace(batch_norm=0, best_model_path='./', dataset='cornell', dataset_path='../', epochs=300, gamma=0.8, idx_split=5, ks='[1,2]', l2_coef=5e-06, lr=0.5, max_iter=300, model='MGNNI_m_att', path='./results/', self_loops=1, threshold=1e-06)
Epoch [081]   train loss: 0.1284  val acc: 0.7458  test acc: 0.7838
Epoch [082]   train loss: 0.1410  val acc: 0.7458  test acc: 0.7838
Epoch [083]   train loss: 0.1030  val acc: 0.7288  test acc: 0.7838
Epoch [084]   train loss: 0.1141  val acc: 0.7119  test acc: 0.7838
Epoch [085]   train loss: 0.1438  val acc: 0.7119  test acc: 0.7568
Epoch [086]   train loss: 0.1191  val acc: 0.7119  test acc: 0.7838
Epoch [087]   train loss: 0.1339  val acc: 0.7119  test acc: 0.7838
Epoch [088]   train loss: 0.1230  val acc: 0.7119  test acc: 0.7838
Epoch [089]   train loss: 0.1356  val acc: 0.7119  test acc: 0.7838
Epoch [090]   train loss: 0.1296  val acc: 0.7119  test acc: 0.7838
Epoch [091]   train loss: 0.1314  val acc: 0.7119  test acc: 0.7838
Epoch [092]   train loss: 0.1128  val acc: 0.7119  test acc: 0.7838
Epoch [093]   train loss: 0.1348  val acc: 0.7119  test acc: 0.7838
Epoch [094]   train loss: 0.1357  val acc: 0.7119  test acc: 0.7838
Epoch [095]   train loss: 0.1647  val acc: 0.7119  test acc: 0.7838
Epoch [096]   train loss: 0.1266  val acc: 0.7119  test acc: 0.7838
Epoch [097]   train loss: 0.1256  val acc: 0.7119  test acc: 0.7838
Epoch [098]   train loss: 0.1196  val acc: 0.7119  test acc: 0.7838
Epoch [099]   train loss: 0.1449  val acc: 0.7119  test acc: 0.7838
Epoch [100]   train loss: 0.1392  val acc: 0.7119  test acc: 0.7838
Epoch [101]   train loss: 0.1213  val acc: 0.7119  test acc: 0.7838
Epoch [102]   train loss: 0.1524  val acc: 0.7288  test acc: 0.7838
Epoch [103]   train loss: 0.1391  val acc: 0.7288  test acc: 0.7838
Epoch [104]   train loss: 0.1428  val acc: 0.7458  test acc: 0.7838
Epoch [105]   train loss: 0.1149  val acc: 0.7458  test acc: 0.7838
Epoch [106]   train loss: 0.1253  val acc: 0.7288  test acc: 0.7838
Epoch [107]   train loss: 0.1228  val acc: 0.7288  test acc: 0.7568
Epoch [108]   train loss: 0.1213  val acc: 0.7288  test acc: 0.7568
Epoch [109]   train loss: 0.1323  val acc: 0.7288  test acc: 0.7568
Epoch [110]   train loss: 0.1441  val acc: 0.7458  test acc: 0.7568
Epoch [111]   train loss: 0.1135  val acc: 0.7288  test acc: 0.7568
Epoch [112]   train loss: 0.1239  val acc: 0.7288  test acc: 0.7568
Epoch [113]   train loss: 0.1264  val acc: 0.7288  test acc: 0.7568
Epoch [114]   train loss: 0.1231  val acc: 0.7288  test acc: 0.7568
Epoch [115]   train loss: 0.1218  val acc: 0.7288  test acc: 0.7568
Epoch [116]   train loss: 0.1370  val acc: 0.7458  test acc: 0.7568
Epoch [117]   train loss: 0.1270  val acc: 0.7458  test acc: 0.7568
Epoch [118]   train loss: 0.1452  val acc: 0.7458  test acc: 0.7838
Epoch [119]   train loss: 0.1242  val acc: 0.7458  test acc: 0.7838
Epoch [120]   train loss: 0.1338  val acc: 0.7458  test acc: 0.7838
Epoch [121]   train loss: 0.1301  val acc: 0.7458  test acc: 0.7838
Epoch [122]   train loss: 0.1379  val acc: 0.7458  test acc: 0.7838
Epoch [123]   train loss: 0.1178  val acc: 0.7458  test acc: 0.7838
Epoch [124]   train loss: 0.1333  val acc: 0.7458  test acc: 0.7838
Epoch [125]   train loss: 0.1259  val acc: 0.7288  test acc: 0.7838
Epoch [126]   train loss: 0.1284  val acc: 0.7288  test acc: 0.7838
Epoch [127]   train loss: 0.1159  val acc: 0.7288  test acc: 0.7838
Epoch [128]   train loss: 0.1507  val acc: 0.7288  test acc: 0.7838
Epoch [129]   train loss: 0.1255  val acc: 0.7288  test acc: 0.7838
Epoch [130]   train loss: 0.1234  val acc: 0.7288  test acc: 0.7838
Epoch [131]   train loss: 0.1227  val acc: 0.7288  test acc: 0.7838
Epoch [132]   train loss: 0.1307  val acc: 0.7288  test acc: 0.7838
Epoch [133]   train loss: 0.1256  val acc: 0.7458  test acc: 0.7838
Epoch [134]   train loss: 0.1363  val acc: 0.7458  test acc: 0.7838
Epoch [135]   train loss: 0.1349  val acc: 0.7458  test acc: 0.7838
Epoch [136]   train loss: 0.1307  val acc: 0.7458  test acc: 0.7838
Epoch [137]   train loss: 0.1514  val acc: 0.7458  test acc: 0.7568
Epoch [138]   train loss: 0.1228  val acc: 0.7458  test acc: 0.7568
Epoch [139]   train loss: 0.1277  val acc: 0.7458  test acc: 0.7838
Epoch [140]   train loss: 0.1155  val acc: 0.7458  test acc: 0.7838
Epoch [141]   train loss: 0.1111  val acc: 0.7458  test acc: 0.7838
Epoch [142]   train loss: 0.1486  val acc: 0.7458  test acc: 0.7838
Epoch [143]   train loss: 0.1209  val acc: 0.7458  test acc: 0.7838
Epoch [144]   train loss: 0.1204  val acc: 0.7458  test acc: 0.7838
Epoch [145]   train loss: 0.1194  val acc: 0.7458  test acc: 0.7838
Epoch [146]   train loss: 0.1723  val acc: 0.7458  test acc: 0.7838
Epoch [147]   train loss: 0.1115  val acc: 0.7458  test acc: 0.7838
Epoch [148]   train loss: 0.1346  val acc: 0.7458  test acc: 0.7838
Epoch [149]   train loss: 0.1072  val acc: 0.7288  test acc: 0.7568
Epoch [150]   train loss: 0.1204  val acc: 0.7288  test acc: 0.7568
Epoch [151]   train loss: 0.1427  val acc: 0.7119  test acc: 0.7568
Epoch [152]   train loss: 0.1353  val acc: 0.7119  test acc: 0.7568
Epoch [153]   train loss: 0.1343  val acc: 0.7119  test acc: 0.7568
Epoch [154]   train loss: 0.1286  val acc: 0.7119  test acc: 0.7568
Epoch [155]   train loss: 0.1289  val acc: 0.7119  test acc: 0.7297
Epoch [156]   train loss: 0.1269  val acc: 0.7119  test acc: 0.7568
Epoch [157]   train loss: 0.1298  val acc: 0.7119  test acc: 0.7568
Epoch [158]   train loss: 0.1324  val acc: 0.7119  test acc: 0.7568
Epoch [159]   train loss: 0.1224  val acc: 0.7119  test acc: 0.7568
Epoch [160]   train loss: 0.1331  val acc: 0.7288  test acc: 0.7568
Epoch [161]   train loss: 0.1152  val acc: 0.7288  test acc: 0.7838
Epoch [162]   train loss: 0.1372  val acc: 0.7288  test acc: 0.7838
Epoch [163]   train loss: 0.1063  val acc: 0.7288  test acc: 0.7568
Epoch [164]   train loss: 0.1191  val acc: 0.7288  test acc: 0.7568
Epoch [165]   train loss: 0.1212  val acc: 0.7288  test acc: 0.7568
Epoch [166]   train loss: 0.1368  val acc: 0.7288  test acc: 0.7568
Epoch [167]   train loss: 0.1073  val acc: 0.7458  test acc: 0.7568
Epoch [168]   train loss: 0.1261  val acc: 0.7458  test acc: 0.7568
Epoch [169]   train loss: 0.1267  val acc: 0.7458  test acc: 0.7568
Epoch [170]   train loss: 0.1210  val acc: 0.7458  test acc: 0.7838
Epoch [171]   train loss: 0.1236  val acc: 0.7458  test acc: 0.7838
Epoch [172]   train loss: 0.1211  val acc: 0.7458  test acc: 0.7838
Epoch [173]   train loss: 0.1339  val acc: 0.7458  test acc: 0.7838
Epoch [174]   train loss: 0.1169  val acc: 0.7458  test acc: 0.7838
Epoch [175]   train loss: 0.1239  val acc: 0.7458  test acc: 0.7838
Epoch [176]   train loss: 0.1148  val acc: 0.7627  test acc: 0.7838
Epoch [177]   train loss: 0.1196  val acc: 0.7627  test acc: 0.7838
Epoch [178]   train loss: 0.1271  val acc: 0.7797  test acc: 0.7838
Epoch [179]   train loss: 0.1369  val acc: 0.7797  test acc: 0.7838
Epoch [180]   train loss: 0.1462  val acc: 0.7797  test acc: 0.7838
Epoch [181]   train loss: 0.1030  val acc: 0.7797  test acc: 0.7838
Epoch [182]   train loss: 0.1331  val acc: 0.7797  test acc: 0.7838
Epoch [183]   train loss: 0.1186  val acc: 0.7797  test acc: 0.7838
Epoch [184]   train loss: 0.1476  val acc: 0.7797  test acc: 0.7838
